"”Berharap nasib bangsa Indonesia, terutama nelayan, menjadi lebih baik",positive
"saya tiap baru melewati tempat ini , tetapi kurang tertarik karena terlihat suram tampak depan . saat ada acara keluarga di semilir resto , baru tahu kalau film tempat nya nyaman banget , luas , nyaman dan cakap pemandangan nya , pelayan nya ramah dan sabar , makanan nya enak-enak . dan yang bikin saya suka tempat ini karena raut muka mereka tidak kesal walau anak-anak saya membuat kehebohan karena lari-lari bermain di tempat ini .    ",positive
"harga nya 26 ribu , porsi mengenyangkan , dengan rasa yang enak . samchan nya tidak kebanyakan , tidak kekurangan juga , porsi nya pas .       ",positive
"Menurut Deputi Badan Pemenangan Pemilu (Bappilu) Partai Demokrat Kamhar Lakumani, survei akan digelar di seluruh dapil untuk anggota DPR, berjumlah 80 dapil , sehingga partai memiliki data yang memadai mulai dari preferensi pemilih, potensi suara Demokrat, figur-figur potensial, dan sebagainya",positive
"“Kalau itu tidak dilakukan, KPU pun bisa menjadi sasaran karena muncul kampanye hitam,” katanya",negative
"gojek tidak benar banget sih rekrutmen pegawai nya , driver nya tidak tahu jalan semua ini     ",negative
"Tak berhenti di situ, raihan suara Gerindra pada Pemilu 2019 kembali meningkat menjadi 13,57 persen dari total suara nasional atau tertinggi kedua setelah Partai Demokrasi Indonesia Perjuangan (PDI-P) sebagai pemenang pemilu",positive
"”Kalau ada yang dirasakan tidak pas, tidak sewajarnya, kan, bisa disampaikan baik kepada menteri bersangkutan",neutral
"Sebab, kritik yang dibuat berdasar pada kajian yang telah dilakukan dalam beberapa waktu terakhir",neutral
jumat malam bandung selalu macet banget,negative
tidak ada yang istimewa dengan kafe ini . pesanan saya waktu itu 2 es kopi dan kentang goreng . kopi nya terlalu manis . parkir luas   ,positive
macet di dago giri . tidak ada polisi yang mengatur .  ,negative
"Lebih dari itu, kata Mahfud, upaya yang menggerogoti ikatan kebangsaan itu justru dilakukan melalui proses demokrasi yang sah secara formal konstitusional",negative
"Di sisi lain, peran sosialisasi dan komunikasi oleh kader-kader Golkar terus dijalankan",neutral
"saat itu saya beserta keluarga ingin makan bersama , dan saya menyarankan untuk mencoba makan di retaurant ini . setelah saya dan keluarga memesan dan mencoba semua pesanan kami , kesimpulan yang bisa saya ambil dari makan di restoran ini adalah perfect , awesome , absolutely bagus . semuanya enak banget , apalagi kepiting telur asin nya . nikmat hingga ke cangkang-cangkang kepiting nya . porsi nya banyaak , buat sekeluarga juga cukup .       ",positive
Hasil survei LSI menunjukkan kepuasan terhadap kinerja Presiden Jokowi tidak lantas membuat publik menginginkan masa jabatannya diperpanjang,neutral
"Selaras dengan keinginan mayoritas publik, pemerintah berupaya memperkuat alat utama sistem persenjataan",positive
"Sebab, isu-isu itu artinya menjadi hal penting bagi publik",neutral
ayam kfc sangat enak   ,positive
"Sebab, Prabowo sudah dikenal publik",positive
"Ini adalah kondisi psikologis yang sedang terjadi, termasuk isu, misalnya, memasangkan Pak Jokowi dengan Pak Prabowo, itu adalah hal-hal yang saya pikir isu-isu sejenis yang memang satu tone dengan isu penundaan pemilu,” kata Ari",neutral
"buahahaaa . kemarin kata nya lembaga pemerintah semakin tidak adilan , krisis demokrasi , kok sekarang disanjung       ",negative
"Ia meyakini, jika Menteri Pertahanan Prabowo Subianto dan Menteri Koordinator Bidang Perekonomian Airlangga Hartarto akan mengikuti pilpres, mereka akan mengundurkan diri dari jabatan menteri",neutral
coba lapor menteri susi nih biar ditenggelamkan kalau berani   ,neutral
Banyak ditemukan unggahan yang isinya menyerang kudu lawan,negative
"Anak stunting, reformasi birokrasi, kemiskinan, otda, hingga Papua",neutral
"tempat makan yang nyaman dengan suasana air terjun , disini sangat dingin sekali dan enak makanan nya . kalian yang ingin makan bersama , dapat ketempat ini   ",positive
porsi sedang tetapi rasanya enak banget . makan bisa habis 2 porsi nasi goreng bistik . tidak kecewa deh makan di sini .       ,positive
Ia mengimbau masyarakat untuk tetap memperhatikan protokol kesehatan pencegahan Covid-19 selama beraktivitas,positive
"Alih-alih menggunakan istilah kuda hitam yang dinilai menunjukkan mental inferior, AHY diharapkan memprovokasi kadernya dengan istilah yang menggugah semangat",positive
"Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan (PDI-P) Hasto Kristiyanto mengatakan, PDI-P akan menunggu penilaian dari Ketua Umum Megawati Soekarnoputri dalam menentukan calon presiden yang akan diusung dalam Pilpres 2024",neutral
"pas datang ke sana suasana kurang baik , lebih mirip suasana warung ayam goreng kaki lima daripada restoran ayam goreng , kecuali tempat nya yang ini luas . pas datang makanan semua normal , sampai datang tahu nya . ternyata sudah asam tapi mereka goreng kembali , saya bersama keluarga pada saat itu dan keluarga komplain karena saya bawa ke situ , sambal nya juga agak asam .      ",negative
"dekat dengan hotel saya menginap , hanya ditempuh jalan kaki , di sini banyak sekali pilihan makanan nya , tempat yang luas , dan menyenangkan ",positive
”,neutral
"Disampaikan Wawan, ia juga berharap ada perubahan kebijakan pemerintah terkait dengan penanganan kritik",neutral
"Dari keterangan tersebut, nantinya pihak universitas akan membahas tindak lanjut dari propaganda yang kami buat,"" kata Leon dihubungi dari Jakarta, Senin sore",neutral
"Hal tersebut bisa dilihat dari perjalanan politiknya mulai dari anggota DPR, ketua fraksi, menteri, hingga saat ini Ketua DPR",neutral
"warung upnormal tenpat nongkrong yang posisi enak banget . makan nya enak . pelayanan nya ramah . seluruh warung upnormal yang paling nyaman di jalan purwakarta , antapani . tempat nya luas . setimpal . sesuai .    ",positive
adik ku sangat suka brownis primarasa  ,positive
"Selain itu, BPJS Kesehatan juga perlu menginformasikan data apa saja yang bocor sekaligus langkah-langkah apa saja yang telah diambil untuk menangani dan mencegah terulangnya insiden kebocoran data pribadi",neutral
"Sekretaris Jenderal Partai Gelombang Rakyat Indonesia (Gelora) Mahfuz Sidik mengatakan, kampanye memang penting bagi parpol baru untuk meningkatkan popularitas dan elektabilitas",neutral
"Padahal, parpol tidak hanya mengerjakan satu hal, di mana pasang baliho adalah salah satu dari banyak kegiatan yang sudah dikerjakan,” katanya",neutral
Serangan terhadap anggota BEM UI setidaknya merupakan yang kedua dalam sebulan ke belakang,negative
Dia berjanji membuktikan bahwa pada tahun 2024 nanti rakyat Indonesia harus sejahtera,positive
